epoch,loss,acc,val_loss,val_acc
1,2.8149,0.0939,2.7806,0.0978
2,2.7734,0.0961,2.7570,0.0988
3,2.7025,0.1071,2.6022,0.1296
4,2.5585,0.1372,2.4318,0.1750
5,2.4386,0.1678,2.3266,0.2113
6,2.3477,0.1963,2.2569,0.2381
7,2.2768,0.2211,2.1991,0.2564
8,2.2156,0.2387,2.1203,0.2799
9,2.1615,0.2586,2.0792,0.2977
10,2.1136,0.2738,2.0331,0.3102
11,2.0663,0.2921,1.9589,0.3446
12,2.0210,0.3053,1.9228,0.3641
13,1.9749,0.3272,1.8710,0.3832
14,1.9353,0.3372,1.8267,0.3959
15,1.9021,0.3296,1.8062,0.4084
16,1.8680,0.3635,1.7518,0.4266
17,1.8389,0.3735,1.7085,0.4422
18,1.8058,0.3852,1.7062,0.4441
19,1.7802,0.3930,1.6721,0.4566
20,1.7527,0.4042,1.6324,0.4703
